file_id,organism,locus_tag,ess,conf,conf_esm2,conf_mean
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00001,1,0.0677350610494613,0.970999538898468,0.5193672999739647
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00002,1,0.9532201290130616,0.9271308779716492,0.9401755034923553
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00003,0,0.8360205292701721,0.1104730293154716,0.4732467792928219
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00004,0,0.0936497449874877,0.4773762822151184,0.28551301360130305
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00005,1,0.9843342900276184,0.982977032661438,0.9836556613445282
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00006,1,0.96676766872406,0.9913511276245116,0.9790593981742858
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00007,0,0.0915064066648483,0.0975366160273552,0.09452151134610175
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00008,0,0.0482739247381687,0.4037078619003296,0.22599089331924915
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00009,1,0.7207931876182556,0.98268061876297,0.8517369031906128
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00010,0,0.0697557404637336,0.1916640102863311,0.13070987537503234
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00012,0,0.1500289887189865,0.206534668803215,0.17828182876110077
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00013,0,0.0503838062286376,0.4930700659751892,0.2717269361019134
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00014,0,0.0985019654035568,0.1269261389970779,0.11271405220031734
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00015,0,0.289210557937622,0.6747161149978638,0.4819633364677429
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00017,0,0.1094159334897995,0.6067626476287842,0.35808929055929184
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00018,1,0.1188979595899581,0.9721044301986694,0.5455011948943138
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00019,0,0.099380575120449,0.5549874901771545,0.32718403264880175
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00020,1,0.1442853808403015,0.5682470798492432,0.35626623034477234
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00021,1,0.081441082060337,0.4997491836547851,0.29059513285756106
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00022,0,0.0646669119596481,0.0412555560469627,0.05296123400330541
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00023,0,0.7915273904800415,0.0514044538140296,0.42146592214703554
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00024,0,0.0519201010465621,0.2182759344577789,0.1350980177521705
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00025,0,0.0461778715252876,0.05397704616189,0.0500774588435888
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00026,0,0.0531260855495929,0.263124018907547,0.15812505222856996
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00027,0,0.8574306964874268,0.289723128080368,0.5735769122838974
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00028,0,0.5692315101623535,0.7475295662879944,0.658380538225174
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00029,0,0.1098028421401977,0.4310044348239898,0.27040363848209376
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00030,0,0.1000936329364776,0.1663902848958969,0.13324195891618726
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00031,0,0.1221998631954193,0.1983400732278823,0.1602699682116508
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00032,0,0.0641539692878723,0.5798203945159912,0.32198718190193176
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00033,0,0.081068567931652,0.1930438429117202,0.1370562054216861
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00034,0,0.0510211735963821,0.597021758556366,0.32402146607637405
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00035,0,0.6987344026565552,0.3625765442848205,0.5306554734706879
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00036,0,0.0638369396328926,0.3483993113040924,0.2061181254684925
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00037,0,0.0674207508563995,0.3697685599327087,0.21859465539455408
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00038,0,0.0982919037342071,0.3195200860500335,0.2089059948921203
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00039,0,0.038499291986227,0.2439395487308502,0.1412194203585386
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00040,0,0.3518026173114776,0.2180954813957214,0.2849490493535995
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00041,0,0.1680483371019363,0.2108759433031082,0.18946214020252225
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00042,0,0.0557104758918285,0.1523015946149826,0.10400603525340556
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00043,0,0.0881529375910759,0.1922247111797332,0.14018882438540453
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00044,0,0.0897198989987373,0.1046011671423912,0.09716053307056424
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00045,0,0.0955333337187767,0.2731070220470428,0.18432017788290975
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00046,0,0.0678089633584022,0.2703230082988739,0.16906598582863805
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00047,0,0.4981738626956939,0.192997470498085,0.34558566659688944
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00049,0,0.230307474732399,0.2618624567985534,0.2460849657654762
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00050,0,0.0924752056598663,0.1920931786298751,0.1422841921448707
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00051,0,0.8028668165206909,0.0720441788434982,0.4374554976820946
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00052,0,0.9792948961257936,0.074616864323616,0.5269558802247047
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00053,0,0.0989828556776046,0.1366675049066543,0.11782518029212946
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00054,0,0.9749241471290588,0.1000348031520843,0.5374794751405716
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00055,0,0.9797419905662536,0.1448667347431183,0.562304362654686
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00056,0,0.0551764257252216,0.0282557141035795,0.04171606991440055
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00057,0,0.6188732385635376,0.2992413640022278,0.4590573012828827
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00058,0,0.0556007102131843,0.1930267810821533,0.1243137456476688
