file_id,organism,locus_tag,ess,conf,conf_bert,conf_t5,conf_mean
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00001,1,0.0677350610494613,0.6178083419799805,0.9069697856903076,0.5308377295732498
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00002,1,0.9532201290130616,0.6508125066757202,0.8505277633666992,0.8181867996851603
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00003,0,0.8360205292701721,0.4890061020851135,0.3466554582118988,0.5572273631890615
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00004,0,0.0936497449874877,0.3208189010620117,0.4099119901657104,0.2747935454050699
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00005,1,0.9843342900276184,0.9172493815422058,0.9218738079071044,0.9411524931589762
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00006,1,0.96676766872406,0.8634845018386841,0.8737359046936035,0.9013293584187826
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00007,0,0.0915064066648483,0.3185312151908874,0.2209074050188064,0.21031500895818067
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00008,0,0.0482739247381687,0.8066829442977905,0.5695439577102661,0.47483360891540843
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00009,1,0.7207931876182556,0.8872920274734497,0.9201501607894896,0.8427451252937317
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00010,0,0.0697557404637336,0.0798251032829284,0.2195869535207748,0.12305593242247893
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00012,0,0.1500289887189865,0.2448808252811432,0.3425884842872619,0.2458327660957972
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00013,0,0.0503838062286376,0.3368570506572723,0.4572762250900268,0.2815056939919789
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00014,0,0.0985019654035568,0.1428306549787521,0.1843510419130325,0.14189455409844712
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00015,0,0.289210557937622,0.6692497730255127,0.7519099116325378,0.5701234141985575
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00017,0,0.1094159334897995,0.5491852164268494,0.510054349899292,0.3895518332719803
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00018,1,0.1188979595899581,0.9450101256370544,0.9590298533439636,0.6743126461903254
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00019,0,0.099380575120449,0.4596214592456817,0.4622220993041992,0.3404080445567767
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00020,1,0.1442853808403015,0.901293694972992,0.7884413003921509,0.6113401254018148
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00021,1,0.081441082060337,0.353171169757843,0.7574098706245422,0.39734070748090744
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00022,0,0.0646669119596481,0.2726588845252991,0.2310680598020553,0.1894646187623342
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00023,0,0.7915273904800415,0.5500937104225159,0.0833428725600242,0.4749879911541939
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00024,0,0.0519201010465621,0.7028897404670715,0.5602275133132935,0.4383457849423091
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00025,0,0.0461778715252876,0.2594504952430725,0.0689313858747482,0.12485325088103612
