file_id,organism,locus_tag,ess,conf,conf_bert,conf_mean
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00001,1,0.970999538898468,0.6178083419799805,0.7944039404392242
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00002,1,0.9271308779716492,0.6508125066757202,0.7889716923236847
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00003,0,0.1104730293154716,0.4890061020851135,0.2997395657002926
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00004,0,0.4773762822151184,0.3208189010620117,0.39909759163856506
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00005,1,0.982977032661438,0.9172493815422058,0.9501132071018219
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00006,1,0.9913511276245116,0.8634845018386841,0.9274178147315979
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00007,0,0.0975366160273552,0.3185312151908874,0.2080339156091213
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00008,0,0.4037078619003296,0.8066829442977905,0.6051954030990601
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00009,1,0.98268061876297,0.8872920274734497,0.9349863231182098
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00010,0,0.1916640102863311,0.0798251032829284,0.13574455678462974
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00012,0,0.206534668803215,0.2448808252811432,0.2257077470421791
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00013,0,0.4930700659751892,0.3368570506572723,0.4149635583162308
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00014,0,0.1269261389970779,0.1428306549787521,0.13487839698791498
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00015,0,0.6747161149978638,0.6692497730255127,0.6719829440116882
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00017,0,0.6067626476287842,0.5491852164268494,0.5779739320278168
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00018,1,0.9721044301986694,0.9450101256370544,0.9585572779178619
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00019,0,0.5549874901771545,0.4596214592456817,0.5073044747114182
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00020,1,0.5682470798492432,0.901293694972992,0.7347703874111176
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00021,1,0.4997491836547851,0.353171169757843,0.4264601767063141
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00022,0,0.0412555560469627,0.2726588845252991,0.15695722028613088
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00023,0,0.0514044538140296,0.5500937104225159,0.3007490821182727
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00024,0,0.2182759344577789,0.7028897404670715,0.46058283746242523
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00025,0,0.05397704616189,0.2594504952430725,0.15671377070248127
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00026,0,0.263124018907547,0.4108043313026428,0.3369641751050949
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00027,0,0.289723128080368,0.2854703664779663,0.2875967472791672
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00028,0,0.7475295662879944,0.2380313575267791,0.4927804619073867
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00029,0,0.4310044348239898,0.4188475310802459,0.42492598295211786
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00030,0,0.1663902848958969,0.4070955216884613,0.2867429032921791
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00031,0,0.1983400732278823,0.2909817993640899,0.24466093629598612
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00032,0,0.5798203945159912,0.2587708532810211,0.41929562389850616
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00033,0,0.1930438429117202,0.2335404902696609,0.21329216659069056
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00034,0,0.597021758556366,0.416218101978302,0.506619930267334
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00035,0,0.3625765442848205,0.4370201528072357,0.39979834854602814
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00036,0,0.3483993113040924,0.3859675824642181,0.3671834468841553
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00037,0,0.3697685599327087,0.3112428188323974,0.34050568938255305
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00038,0,0.3195200860500335,0.2814202904701233,0.30047018826007843
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00039,0,0.2439395487308502,0.430898517370224,0.3374190330505371
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00040,0,0.2180954813957214,0.3740468919277191,0.2960711866617203
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00041,0,0.2108759433031082,0.2613837718963623,0.23612985759973526
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00042,0,0.1523015946149826,0.1250289380550384,0.1386652663350105
