file_id,organism,locus_tag,ess,conf,conf_esm2,conf_t5,conf_mean
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00001,1,0.0677350610494613,0.970999538898468,0.9069697856903076,0.648568128546079
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00002,1,0.9532201290130616,0.9271308779716492,0.8505277633666992,0.91029292345047
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00003,0,0.8360205292701721,0.1104730293154716,0.3466554582118988,0.4310496722658475
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00004,0,0.0936497449874877,0.4773762822151184,0.4099119901657104,0.32697933912277216
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00005,1,0.9843342900276184,0.982977032661438,0.9218738079071044,0.9630617101987203
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00006,1,0.96676766872406,0.9913511276245116,0.8737359046936035,0.9439515670140585
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00007,0,0.0915064066648483,0.0975366160273552,0.2209074050188064,0.1366501425703366
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00008,0,0.0482739247381687,0.4037078619003296,0.5695439577102661,0.3405085814495881
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00009,1,0.7207931876182556,0.98268061876297,0.9201501607894896,0.8745413223902384
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00010,0,0.0697557404637336,0.1916640102863311,0.2195869535207748,0.16033556809027982
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00012,0,0.1500289887189865,0.206534668803215,0.3425884842872619,0.23305071393648782
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00013,0,0.0503838062286376,0.4930700659751892,0.4572762250900268,0.3335766990979512
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00014,0,0.0985019654035568,0.1269261389970779,0.1843510419130325,0.1365930487712224
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00015,0,0.289210557937622,0.6747161149978638,0.7519099116325378,0.5719455281893412
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00017,0,0.1094159334897995,0.6067626476287842,0.510054349899292,0.40874431033929187
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00018,1,0.1188979595899581,0.9721044301986694,0.9590298533439636,0.6833440810441971
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00019,0,0.099380575120449,0.5549874901771545,0.4622220993041992,0.3721967215339343
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00020,1,0.1442853808403015,0.5682470798492432,0.7884413003921509,0.5003245870272318
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00021,1,0.081441082060337,0.4997491836547851,0.7574098706245422,0.44620004544655484
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00022,0,0.0646669119596481,0.0412555560469627,0.2310680598020553,0.11233017593622203
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00023,0,0.7915273904800415,0.0514044538140296,0.0833428725600242,0.30875823895136506
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00024,0,0.0519201010465621,0.2182759344577789,0.5602275133132935,0.2768078496058782
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00025,0,0.0461778715252876,0.05397704616189,0.0689313858747482,0.056362101187308604
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00026,0,0.0531260855495929,0.263124018907547,0.2690703272819519,0.19510681057969728
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00027,0,0.8574306964874268,0.289723128080368,0.5781686902046204,0.5751075049241384
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00028,0,0.5692315101623535,0.7475295662879944,0.33388152718544,0.5502142012119293
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00029,0,0.1098028421401977,0.4310044348239898,0.3471766412258148,0.2959946393966674
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00030,0,0.1000936329364776,0.1663902848958969,0.3325566351413727,0.19968018432458243
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00031,0,0.1221998631954193,0.1983400732278823,0.0759784802794456,0.1321728055675824
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00032,0,0.0641539692878723,0.5798203945159912,0.3344484567642212,0.3261409401893616
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00033,0,0.081068567931652,0.1930438429117202,0.4101448059082031,0.22808573891719175
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00034,0,0.0510211735963821,0.597021758556366,0.6247638463973999,0.4242689261833827
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00035,0,0.6987344026565552,0.3625765442848205,0.484243094921112,0.5151846806208292
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00036,0,0.0638369396328926,0.3483993113040924,0.1383482962846756,0.18352818240722021
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00037,0,0.0674207508563995,0.3697685599327087,0.3050822615623474,0.2474238574504852
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00038,0,0.0982919037342071,0.3195200860500335,0.5357671976089478,0.3178597291310628
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00039,0,0.038499291986227,0.2439395487308502,0.0703689828515052,0.11760260785619414
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00040,0,0.3518026173114776,0.2180954813957214,0.2889661192893982,0.2862880726655324
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00041,0,0.1680483371019363,0.2108759433031082,0.163929745554924,0.1809513419866562
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00042,0,0.0557104758918285,0.1523015946149826,0.2890295386314392,0.1656805363794168
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00043,0,0.0881529375910759,0.1922247111797332,0.2971712350845337,0.19251629461844758
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00044,0,0.0897198989987373,0.1046011671423912,0.3194203972816467,0.1712471544742584
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00045,0,0.0955333337187767,0.2731070220470428,0.5548372268676758,0.30782586087783176
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00046,0,0.0678089633584022,0.2703230082988739,0.446489155292511,0.26154037564992905
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00047,0,0.4981738626956939,0.192997470498085,0.3680342137813568,0.3530685156583786
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00049,0,0.230307474732399,0.2618624567985534,0.4810573160648346,0.324409082531929
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00050,0,0.0924752056598663,0.1920931786298751,0.1203851401805877,0.13498450815677637
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00051,0,0.8028668165206909,0.0720441788434982,0.1403807401657104,0.33843057850996655
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00052,0,0.9792948961257936,0.074616864323616,0.0950401574373245,0.3829839726289113
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00053,0,0.0989828556776046,0.1366675049066543,0.153082326054573,0.12957756221294398
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00054,0,0.9749241471290588,0.1000348031520843,0.142203152179718,0.40572070082028705
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00055,0,0.9797419905662536,0.1448667347431183,0.0598077625036239,0.3948054959376653
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00056,0,0.0551764257252216,0.0282557141035795,0.0555879883468151,0.0463400427252054
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00057,0,0.6188732385635376,0.2992413640022278,0.2710913121700287,0.396401971578598
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00058,0,0.0556007102131843,0.1930267810821533,0.6814672350883484,0.31003157546122867
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00060,0,0.9669288992881776,0.2059063464403152,0.3593662679195404,0.5107338378826777
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00061,0,0.0765333473682403,0.3011009395122528,0.1351242065429687,0.1709194978078206
D011,Staphylococcus aureus subsp. aureus NCTC 8325,SAOUHSC_00062,0,0.1621686220169067,0.2134092003107071,0.272380530834198,0.21598611772060394
