file_id,organism,locus_tag,ess,conf,conf_t5,conf_mean
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,-,0,0.0046174726448953,0.5580497980117798,0.28133363532833755
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0001,0,0.0096030011773109,0.0004006500530522,0.00500182561518155
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0002,0,0.0114172147586941,0.0709564089775085,0.0411868118681013
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0003,0,0.0318481363356113,0.069461777806282,0.05065495707094665
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0004,0,0.0227284003049135,0.0937162041664123,0.058222302235662896
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0005,0,0.0137024438008666,0.3916821777820587,0.20269231079146266
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0006,0,0.0099865728989243,0.0185699965804815,0.014278284739702902
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0007,0,0.015066803433001,0.0895058438181877,0.05228632362559435
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0008,0,0.507634699344635,0.2132751941680908,0.3604549467563629
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0009,0,0.0212275199592113,0.0677316561341285,0.044479588046669905
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0010,0,0.0108651984483003,0.0357106551527977,0.023287926800549
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0011,0,0.0121220592409372,0.0107646957039833,0.011443377472460249
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0012,1,0.9068653583526612,0.9265938401222228,0.916729599237442
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0013,0,0.0532436445355415,0.7315638661384583,0.3924037553369999
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0014,0,0.0265460349619388,0.1021898537874221,0.06436794437468045
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0015,0,0.0196216870099306,0.2122505754232406,0.11593613121658561
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0016,0,0.0038786781951785,0.005723095498979,0.00480088684707875
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0017,0,0.0628204718232154,0.099888876080513,0.0813546739518642
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0018,0,0.0463493019342422,0.0371258705854415,0.04173758625984185
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0019,0,0.0021054097451269,0.0419743917882442,0.02203990076668555
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0020,0,0.0068831415846943,0.0184166394174098,0.01264989050105205
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0021,0,0.0366525426506996,0.159675046801567,0.09816379472613329
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0022,0,0.0137752033770084,0.1420278549194336,0.077901529148221
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0023,0,0.0129805356264114,0.2310995310544967,0.12204003334045406
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0025,0,0.0175204128026962,0.0584541596472263,0.03798728622496125
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0026,0,0.0233749784529209,0.0583684705197811,0.040871724486351
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0027,0,0.0261502508074045,0.0058832466602325,0.0160167487338185
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0028,0,0.0061561767943203,0.1615908294916153,0.08387350314296779
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0029,0,0.0345972366631031,0.2072418481111526,0.12091954238712785
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0030,0,0.0247277989983558,0.0163172204047441,0.02052250970154995
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0031,0,0.8249832391738892,0.1239403933286666,0.47446181625127787
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0032,0,0.0222881510853767,0.1279051154851913,0.075096633285284
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0033,0,0.0619084276258945,0.0352132245898246,0.04856082610785955
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0034,0,0.017716821283102,0.0220177415758371,0.01986728142946955
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0035,0,0.0610783845186233,0.043493490666151,0.052285937592387144
