file_id,organism,locus_tag,ess,conf
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,-,0,0.5580497980117798
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0001,0,0.00040065005305223167
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0002,0,0.07095640897750854
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0003,0,0.06946177780628204
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0004,0,0.09371620416641235
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0005,0,0.3916821777820587
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0006,0,0.01856999658048153
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0007,0,0.08950584381818771
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0008,0,0.21327519416809082
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0009,0,0.06773165613412857
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0010,0,0.0357106551527977
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0011,0,0.010764695703983307
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0012,1,0.9265938401222229
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0013,0,0.7315638661384583
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0014,0,0.10218985378742218
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0015,0,0.21225057542324066
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0016,0,0.005723095498979092
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0017,0,0.099888876080513
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0018,0,0.03712587058544159
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0019,0,0.04197439178824425
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0020,0,0.018416639417409897
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0021,0,0.15967504680156708
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0022,0,0.1420278549194336
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0023,0,0.23109953105449677
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0025,0,0.058454159647226334
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0026,0,0.05836847051978111
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0027,0,0.005883246660232544
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0028,0,0.1615908294916153
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0029,0,0.20724184811115265
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0030,0,0.016317220404744148
C033,Salmonella enterica subsp. enterica serovar Typhi str. Ty2,t0031,0,0.12394039332866669
